日付,始値,高値,安値,終値,出来高,終値調整
2017/9/14,20270,20320,20190,20220,187868,20220
2017/9/15,20170,20340,20170,20310,198237,20310
2017/9/19,20530,20720,20530,20690,816739,20690
2017/9/20,20700,20750,20660,20710,213978,20710
2017/9/21,20870,20900,20740,20760,487162,20760
2017/9/22,20790,20820,20660,20700,229822,20700
2017/9/25,20830,20860,20770,20790,184981,20790
2017/9/26,20750,20790,20700,20710,228591,20710
2017/9/27,20790,20820,20750,20820,183339,20820
2017/9/28,20930,20940,20840,20920,321985,20920
2017/9/29,20840,20900,20820,20870,252187,20870
2017/10/2,20940,20940,20890,20940,151521,20940
2017/10/3,21000,21170,20980,21150,662431,21150
2017/10/4,21190,21230,21130,21170,300058,21170
2017/10/5,21190,21200,21150,21170,228720,21170
2017/10/6,21270,21270,21210,21250,162078,21250
2017/10/10,21210,21380,21210,21370,358462,21370
2017/10/11,21350,21450,21340,21440,316874,21440
2017/10/12,21510,21540,21470,21490,183280,21490
2017/10/13,21500,21780,21480,21720,451997,21720
2017/10/16,21790,21920,21750,21830,375544,21830
2017/10/17,21920,21960,21790,21900,359294,21900
2017/10/18,21930,21970,21870,21940,185699,21940
2017/10/19,22040,22080,21950,22000,475802,22000
2017/10/20,21940,22060,21920,22010,267679,22010
2017/10/23,22310,22310,22190,22260,265037,22260
2017/10/24,22220,22380,22210,22370,231632,22370
2017/10/25,22480,22500,22220,22300,268138,22300
2017/10/26,22280,22370,22270,22320,175008,22320
2017/10/27,22440,22610,22390,22590,236903,22590
2017/10/30,22610,22670,22490,22590,401165,22590
2017/10/31,22440,22610,22410,22580,280303,22580
2017/11/1,22770,23060,22760,23010,514845,23010
2017/11/2,23110,23140,23000,23140,302266,23140
2017/11/6,23220,23260,23030,23140,360529,23140
2017/11/7,23120,23570,23120,23560,446572,23560
2017/11/8,23450,23540,23370,23540,254372,23540
2017/11/9,23620,24010,23120,23470,1250530,23470
2017/11/10,23190,23330,23110,23300,640840,23300
2017/11/13,23220,23230,22970,22970,377068,22970
2017/11/15,22860,22900,22600,22640,719106,22640
2017/11/16,22580,22990,22570,22960,414341,22960
2017/11/17,23230,23370,22920,23010,722737,23010
2017/11/20,22910,23020,22810,22860,274519,22860
2017/11/21,23070,23170,23020,23040,211336,23040
2017/11/22,23240,23290,23120,23140,189782,23140
2017/11/24,23010,23170,22970,23140,238035,23140
2017/11/27,23260,23270,23020,23100,233737,23100
2017/11/28,23060,23190,22960,23090,140929,23090
2017/11/29,23230,23250,23140,23200,285786,23200
2017/11/30,23200,23360,23120,23350,279160,23350
2017/12/1,23550,23610,23280,23440,358644,23440
2017/12/4,23460,23470,23300,23330,249497,23330
2017/12/5,23200,23280,23120,23220,152349,23220
2017/12/6,23140,23140,22700,22770,515197,22770
2017/12/7,22950,23120,22910,23090,182727,23090
2017/12/8,23210,23430,23150,23430,501133,23430
2017/12/11,23500,23550,23390,23550,230348,23550
2017/12/12,23540,23600,23440,23490,267555,23490
2017/12/13,23500,23500,23290,23360,224779,23360
2017/12/14,23330,23390,23240,23300,191331,23300
2017/12/15,23220,23360,23080,23160,254955,23160
2017/12/18,23370,23530,23340,23520,314500,23520
2017/12/19,23570,23610,23470,23480,193207,23480
2017/12/20,23440,23540,23410,23500,140023,23500
2017/12/21,23460,23500,23330,23470,189583,23470
2017/12/22,23440,23510,23410,23480,150986,23480
2017/12/25,23500,23550,23470,23540,67464,23540
2017/12/26,23530,23540,23470,23490,112306,23490
2017/12/27,23510,23570,23500,23530,132280,23530
2017/12/28,23550,23590,23360,23390,174425,23390
2017/12/29,23480,23510,23370,23410,231315,23410
2018/1/4,23770,24150,23770,24150,611004,24150
2018/1/5,24280,24390,24170,24370,495513,24370
2018/1/9,24650,24650,24450,24510,363084,24510
2018/1/10,24490,24520,24410,24440,221450,24440
2018/1/11,24330,24400,24250,24360,710369,24360
2018/1/12,24410,24410,24240,24310,383357,24310
2018/1/15,24460,24490,24340,24370,193839,24370
2018/1/16,24390,24620,24350,24610,258414,24610
2018/1/17,24430,24550,24400,24530,255050,24530
2018/1/18,24770,24780,24360,24430,559985,24430
2018/1/19,24500,24540,24400,24450,309262,24450
2018/1/22,24470,24470,24340,24470,200760,24470
2018/1/23,24600,24800,24580,24790,325248,24790
2018/1/24,24680,24740,24570,24630,290971,24630
2018/1/25,24410,24490,24300,24340,474533,24340
2018/1/26,24450,24470,24250,24300,379006,24300
2018/1/29,24400,24440,24230,24290,303819,24290
2018/1/30,24230,24230,23880,23940,1238380,23940
2018/1/31,23830,24030,23760,23770,554453,23770
2018/2/1,23960,24160,23870,24080,525827,24080
2018/2/2,23990,24000,23760,23920,593576,23920
2018/2/5,23450,23490,23280,23330,1310751,23330
2018/2/6,22340,22460,21660,22210,2087265,22210
2018/2/7,22880,22980,22230,22240,766592,22240
2018/2/8,22350,22590,22240,22510,542201,22510
2018/2/9,21730,22000,21690,21980,1231760,21980
2018/2/13,22300,22310,21790,21840,631343,21840
2018/2/14,21850,21960,21520,21740,543994,21740
2018/2/15,21990,22170,21890,22080,514775,22080
2018/2/16,22170,22470,22110,22300,354263,22300
2018/2/19,22490,22770,22450,22740,244349,22740
2018/2/20,22680,22680,22430,22530,219940,22530
2018/2/21,22560,22760,22440,22600,251508,22600
2018/2/22,22390,22410,22220,22340,477684,22340
2018/2/23,22400,22500,22340,22500,156346,22500
2018/2/26,22780,22870,22660,22780,247765,22780
2018/2/27,23010,23140,22960,23000,285484,23000
2018/2/28,22900,23000,22720,22730,283416,22730
2018/3/1,22550,22550,22260,22340,657058,22340
2018/3/2,21840,21880,21680,21790,1087635,21790
2018/3/5,21640,21760,21530,21630,540316,21630
2018/3/6,22040,22160,22010,22020,266690,22020
2018/3/7,21870,22090,21790,21840,314391,21840
2018/3/8,22100,22110,21890,21970,180583,21970
2018/3/9,22190,22490,21950,22090,413390,22090
2018/3/12,22550,22600,22300,22460,489950,22460
2018/3/13,22340,22590,22300,22590,456448,22590
2018/3/14,22390,22500,22290,22380,248986,22380
2018/3/15,22300,22440,22160,22430,206003,22430
2018/3/16,22460,22480,22240,22300,246857,22300
2018/3/19,22130,22270,21960,22090,234806,22090
2018/3/20,21880,21990,21830,21990,189985,21990
2018/3/22,21960,22190,21960,22190,330993,22190
2018/3/23,21500,21600,21120,21160,1093613,21160
2018/3/26,20940,21330,20910,21320,546959,21320
2018/3/27,21570,21890,21530,21870,522057,21870
2018/3/28,21580,21770,21520,21760,293491,21760
2018/3/29,22020,22060,21750,21890,232677,21890
2018/3/30,22160,22280,22080,22210,282830,22210
2018/4/2,22200,22370,22160,22160,246028,22160
2018/4/3,21850,22100,21800,22060,230554,22060
2018/4/4,22190,22200,22000,22080,238365,22080
2018/4/5,22310,22520,22230,22440,332249,22440
2018/4/6,22410,22530,22320,22360,312086,22360
2018/4/9,22300,22520,22300,22450,175185,22450
2018/4/10,22370,22720,22300,22570,306090,22570
2018/4/11,22640,22640,22460,22460,189354,22460
2018/4/12,22460,22490,22350,22410,180788,22410
2018/4/13,22580,22690,22520,22580,229998,22580
2018/4/16,22610,22660,22550,22610,142976,22610
2018/4/17,22600,22680,22550,22630,208353,22630
2018/4/18,22700,22990,22700,22940,313676,22940
2018/4/19,23020,23150,22980,22980,273027,22980
2018/4/20,22940,23050,22870,22970,156269,22970
2018/4/23,22960,22990,22850,22880,146557,22880
2018/4/24,23030,23090,22940,23090,137995,23090
2018/4/25,22900,23030,22870,23010,121813,23010
2018/4/26,23120,23190,23080,23110,186081,23110
2018/4/27,23200,23300,23160,23280,345925,23280
2018/5/1,23280,23340,23220,23310,100036,23310
2018/5/2,23370,23380,23230,23270,133649,23270
2018/5/7,23320,23330,23150,23270,120964,23270
2018/5/8,23230,23380,23230,23330,129370,23330
2018/5/9,23260,23290,23160,23210,102020,23210
2018/5/10,23300,23340,23220,23300,107679,23300
2018/5/11,23380,23590,23380,23590,270463,23590
2018/5/14,23580,23720,23560,23690,169429,23690
2018/5/15,23720,23730,23620,23630,202343,23630
2018/5/16,23550,23610,23520,23540,223068,23540
2018/5/17,23630,23700,23620,23660,206488,23660
2018/5/18,23740,23780,23690,23740,228489,23740
2018/5/21,23770,23880,23750,23820,242469,23820
2018/5/22,23840,23850,23780,23780,116875,23780
2018/5/23,23700,23770,23470,23500,288182,23500
2018/5/24,23430,23460,23170,23240,275243,23240
2018/5/25,23180,23320,23120,23260,183480,23260
2018/5/28,23300,23350,23210,23270,109307,23270
2018/5/29,23240,23250,23040,23140,173683,23140
2018/5/30,22800,22870,22720,22810,415452,22810
2018/5/31,22990,23050,22890,23000,137049,23000
2018/6/1,22940,23130,22900,22950,165760,22950
2018/6/4,23170,23320,23160,23290,141843,23290
2018/6/5,23350,23400,23270,23350,181239,23350
2018/6/6,23340,23470,23310,23440,139311,23440
2018/6/7,23590,23670,23560,23650,231649,23650
2018/6/8,23610,23690,23510,23510,464839,23510
2018/6/11,23500,23660,23480,23630,177007,23630
2018/6/12,23800,23830,23600,23720,317060,23720
2018/6/13,23730,23810,23700,23780,152091,23780
2018/6/14,23670,23720,23570,23570,167099,23570
2018/6/15,23700,23710,23590,23660,145676,23660
2018/6/18,23620,23630,23420,23490,129579,23490
2018/6/19,23390,23430,23080,23100,333104,23100
2018/6/20,23140,23400,22970,23380,283791,23380
2018/6/21,23330,23600,23290,23500,327871,23500
2018/6/22,23250,23340,23200,23330,227251,23330
2018/6/25,23380,23380,23120,23160,173982,23160
2018/6/26,22990,23180,22910,23150,234420,23150
2018/6/27,23160,23190,23030,23070,161255,23070
2018/6/28,23040,23120,22870,23080,307174,23080
2018/6/29,23150,23150,22970,23110,104995,23110
2018/7/2,23060,23140,22610,22610,590903,22610
2018/7/3,22730,22770,22380,22620,842752,22620
2018/7/4,22160,22250,22070,22200,561608,22200
2018/7/5,22160,22220,21920,22020,307927,22020
2018/7/6,22130,22330,22090,22270,278391,22270
2018/7/9,22350,22560,22320,22500,143378,22500
2018/7/10,22690,22790,22660,22690,264340,22690
2018/7/11,22490,22510,22210,22390,255746,22390
2018/7/12,22490,22700,22490,22670,117819,22670
2018/7/13,22910,23160,22900,23080,421205,23080
2018/7/17,23080,23320,23060,23180,247056,23180
2018/7/18,23380,23430,23260,23260,262895,23260
2018/7/19,23360,23390,23230,23240,240922,23240
2018/7/20,23200,23350,23010,23180,245330,23180
2018/7/23,22940,22980,22810,22860,203782,22860
2018/7/24,23010,23030,22880,22990,112080,22990
2018/7/25,23080,23120,23010,23060,135516,23060
2018/7/26,23110,23110,23010,23040,121069,23040
2018/7/27,23110,23170,23060,23170,100846,23170
2018/7/30,23070,23100,22980,23010,115268,23010
2018/7/31,22930,23170,22820,23040,259912,23040
2018/8/2,23140,23230,22930,22970,239299,22970
2018/8/3,23080,23100,22970,22990,152571,22990
2018/8/6,23010,23100,22960,22990,86172,22990
2018/8/7,23030,23130,23000,23120,107400,23120
2018/8/8,23120,23270,23080,23140,144597,23140
2018/8/9,23060,23110,22970,23090,105585,23090
2018/8/10,23080,23090,22740,22770,411160,22770
2018/8/13,22620,22630,22320,22370,876556,22370
2018/8/14,22510,22820,22490,22800,208761,22800
2018/8/15,22820,22830,22570,22690,114297,22690
2018/8/16,22440,22710,22350,22680,356970,22680
2018/8/17,22800,22810,22700,22740,138638,22740
2018/8/20,22700,22750,22620,22650,153760,22650
